"date","ingame_name"
"2026-08-01","Blitz"
"2026-08-01","Penguin"
"2026-08-01","JackCollin"
"2026-08-01","slushyfox"
"2026-08-01","Magus"
"2026-08-01","RIN"
"2026-08-01","Heroic"
"2026-08-01","Evil"
"2026-08-01","Grimmsy"
"2026-08-01","DonaldTrump"
"2026-08-01","MrFortune"
"2026-08-01","Wave"
"2026-08-01","TR2CK"
"2026-08-01","ChaseJace"
"2026-08-01","Thort"
"2026-08-01","Hoboz"
"2026-08-01","Bebols"
"2026-08-10","Blitz"
"2026-08-10","Penguin"
"2026-08-10","JackCollin"
"2026-08-10","slushyfox"
"2026-08-10","Magus"
"2026-08-10","RIN"
"2026-08-10","Heroic"
"2026-08-10","Evil"
"2026-08-10","Grimmsy"
"2026-08-10","DonaldTrump"
"2026-08-10","MrFortune"
"2026-08-10","Wave"
"2026-08-10","TR2CK"
"2026-08-10","ChaseJace"
"2026-08-10","Thort"
"2026-08-10","Hoboz"
"2026-08-10","Bebols"
"2026-08-10","Lantern"
